,MRO,zipcode,30miles?
1489,SpanaFlight,98374,1
540,"Avian Aeronautics, Inc.",98367,1
1474,"Soundair Repair Group, LLC",98290,1
671,Cannon Aircraft Interiors-Cai Avionics,98204,1
866,Esterline,98204,1
1314,"Precision Engines, LLC",98204,1
1367,Regal Air,98204,1
1634,Umbragroup S.p.a.,98204,1
1683,Waypoint Aeronautical,98204,1
582,"AvtechTyee, Inc.",98203,1
878,"Exotic Tool Welding, Inc.",98203,1
319,"AeroMech, Inc.",98201,1
1723,"Zodiac Northwest Aerospace Technologies, Inc.",98201,1
505,Asko Industrial Repair,98199,1
98,Fatigue Technology,98188,1
121,HEATCON Composite Systems,98188,1
150,Jet Parts Engineering,98134,1
1688,"West Coast Industries, Inc",98133,1
419,AirMark Corp,98125,1
421,"AirMark, Inc.",98125,1
634,Boeing Technology Services,98124,1
237,"A.C. Propeller Service, Inc.",98108,1
683,Cascade Helicopter Services.,98108,1
506,"Asko Processing, Inc.",98103,1
563,Aviation Technical Services,98072,1
255,"Ace Aviation, Inc.",98057,1
1203,Nabtesco Aerospace,98052,1
1492,Spectralux Corp.,98052,1
1722,Zodiac Lighting Solutions,98052,1
166,MAPAERO INC,98034,1
515,Astronics Advanced Electronics Systems,98034,1
1463,"Skye Tek, Inc.",98033,1
576,"Aviosupport, Inc.",98033,1
1247,"Pacific Propeller International, LLC",98032,1
449,"Allflight Corp., Seattle Div.",98032,1
481,Aquarese by Flow,98032,1
877,Exotic Metals Forming Company  Llc,98032,1
1244,Pacific Aero Tech,98032,1
431,"Airtech Instrument Co., Inc.",98002,1
280,"Aero Controls, Inc.",98001,1
384,"Aircom Avionics, Inc.",99709,#N/A
649,"Bristow Alaska, Inc.",99701,#N/A
664,"CAC Plastics, LLC",99654,#N/A
774,Custom Aircraft Inc.,99645,#N/A
813,Dominion Propeller Corp.,99518,#N/A
832,Eagle Enterprises Safety Solutions,99518,#N/A
882,"F Atlee Dodge Aircraft Services, LLC",99518,#N/A
1262,"Pegasus Aviation Services, LLC",99502,#N/A
304,"Aero Twin, Inc.",99501,#N/A
441,"Alaskan Aircraft Engines, Inc.",99501,#N/A
785,"Dan's Aircraft Repair, Inc.",99501,#N/A
1650,Uniwest,99301,#N/A
248,Absolute Aviation Services,99224,#N/A
1497,Spokane Industries,99220,#N/A
997,Herc Rentals,99206,#N/A
1465,SkyOne Aerospace LLC.,99206,#N/A
1278,Pexco Aerospace,98903,#N/A
1149,"Mark Airmotive, Inc.",98837,#N/A
1473,"Sonico, Inc.",98837,#N/A
1458,Sky Aerospace Engineering,98765,#N/A
1129,"LifePort, Inc.",98674,#N/A
285,Aero Maintenance Flight Center,98661,#N/A
1409,"Safeair, Inc.",98502,#N/A
919,"Four Star Accessory Overhaul, Inc.",98501,#N/A
367,Air Mods NW,98252,#N/A
672,"Cannon Avionics & Aircraft Maintenance, Inc.",98223,#N/A
741,"Commercial Aircraft Interiors, LLC",98223,#N/A
360,"Air Cargo Equipment, Inc.",98022,#N/A
1109,"Lancair Avionics, Inc.",97756,#N/A
778,CV International,97702,#N/A
706,"Chief Aircraft, Inc.",97526,#N/A
764,Croman Corp.,97501,#N/A
984,"Heli-Tech, Inc.",97402,#N/A
758,Corvallis Aero Services,97333,#N/A
863,Erickson Incorporated,97239,#N/A
1358,"R.S. Hughes Co., Inc.",97220,#N/A
1382,Rochem Aviation,97219,#N/A
1004,"Hillsboro Aviation, Inc.",97124,#N/A
1235,"Oregon Aero, Inc.",97056,#N/A
1396,"Rotor Wing Hawaii, Inc.",96819,#N/A
376,Air Service Hawaii,96819,#N/A
836,"Eastwest Avionics, Inc.",96819,#N/A
986,"Heliblade, Inc.",96007,#N/A
397,"Aircraft Heating & Electrical, Inc.",96003,#N/A
461,American Propeller Service,96002,#N/A
391,"Aircraft Electrical Components, Inc.",96001,#N/A
1243,Pac West Helicopters,96001,#N/A
1687,West Coast Helicopter & Accessories,96001,#N/A
874,Executive AutoPilots,95822,#N/A
320,Aerometals,95762,#N/A
922,"Freedom Aero Service, Inc.",95652,#N/A
1098,Kracon Aircraft Refinishing,95648,#N/A
1708,"Woodland Aviation, Inc.",95616,#N/A
1568,TGH Aviation,95602,#N/A
1580,"TMT Research Development, Inc.",95567,#N/A
1717,Yankee Composites,95453,#N/A
1380,Rivers Aviation Services,95401,#N/A
1461,Sky Trek Aviation,95354,#N/A
1397,"Rotor-Tech International, LLC",95215,#N/A
303,"Aero Turbine, Inc.",95206,#N/A
619,"Big Valley Aviation, Inc.",95206,#N/A
859,"Ens Technology, LLC",95054,#N/A
1128,Level III Ndt,95054,#N/A
68,California Radomes,95050,#N/A
231,Zip-chem Products,95037,#N/A
811,"DK Turbines, LLC",95023,#N/A
807,Direct Avionics,94945,#N/A
1704,Willis Lease Finance Co.,94939,#N/A
995,Henkel,94565,#N/A
158,"L. J. Walch Co., Inc.",94551,#N/A
291,Aero Precision,94551,#N/A
444,"ALCO Services, Inc.",94551,#N/A
1103,L.J. Walch Co Inc.,94551,#N/A
1528,Sullivan Propeller Specialists,94545,#N/A
182,North Bay Aviation,94534,#N/A
1672,"Victor Aviation Services, Inc.",94303,#N/A
1126,"Legacy Aircraft Instruments, Inc.",94131,#N/A
1645,United Technical Operations,94128,#N/A
1365,Realization Technologies Inc.,94085,#N/A
1166,"Metal Fusion, Inc.",94063,#N/A
789,"Davtron, Inc.",94062,#N/A
1649,Universal Technologies Corp.,94041,#N/A
267,"Advancetech Aircraft Maintenance, Inc.",93905,#N/A
422,"Airmotive Specialists, Inc.",93905,#N/A
427,"Airplane Co., Inc.",93905,#N/A
665,"Cal Pacific Airmotive, Inc.",93905,#N/A
479,APR Aviation,93727,#N/A
1395,"Ross Aviation, Fresno",93726,#N/A
587,B.C.H. Aviation Center,93706,#N/A
920,Frank X Ruiz Avionics,93706,#N/A
1172,"Mid Valley Aviation, Inc.",93635,#N/A
1215,"NIACC - Avitech Technologies, Inc.",93612,#N/A
1673,"Vintage Radials, Inc.",93561,#N/A
595,Barnes Aviation,93536,#N/A
730,"Coastal Valley Aviation, Inc.",93455,#N/A
794,"Del Rio Aviation, Inc.",93446,#N/A
1144,"Main Turbo Systems, Inc.",93292,#N/A
405,"Aircraft Mechanical Services, Inc.",93277,#N/A
1298,Ppg,93142,#N/A
1375,Rexnord Aerospace,93065,#N/A
993,Helipower Service,93060,#N/A
507,"Aspen Helicopters, Inc.",93030,#N/A
513,Astrolite Alloys,93030,#N/A
366,"Air Instro, Inc.",93021,#N/A
1381,"Ro-Wing Aviation, Inc.",93012,#N/A
1533,"Sun Air Jets, LLC.",93010,#N/A
305,"Aero-Craft Hydraulics, Inc.",92880,#N/A
74,"CIRCOR Aerospace, Inc.",92880,#N/A
35,Airmark International,92880,#N/A
720,Circor Aerospace & Defense,92880,#N/A
1248,Pacific Southwest Instruments,92880,#N/A
1383,"Rockwell Aviation Services, Inc.",92880,#N/A
1309,"Precision Airparts Support Services, Inc.",92840,#N/A
934,"General Aviation Co., Inc.",92833,#N/A
1630,U.S. Technical,92831,#N/A
196,Proponent,92821,#N/A
457,American Aircraft Maintenance,92707,#N/A
1153,Martin Aviation,92707,#N/A
1694,"Western Avionics, Inc.",92707,#N/A
1607,Triumph Processing - Embee Div.,92705,#N/A
180,Newport Aeronautical,92663,#N/A
1006,Hixson Metal Finishing,92663,#N/A
1475,Source One Aircraft Repair,92663,#N/A
1268,Perfect Point EDM,92649,#N/A
1352,"Quality Material Inspection, Inc.",92649,#N/A
1643,United Flight Accessories of California,92649,#N/A
941,"Global Tech Instruments, Inc.",92648,#N/A
1250,Panasonic Technical Services,92630,#N/A
466,"AMETEK Aerospace & Defense, Costa Mesa",92627,#N/A
494,Armite Lubricants,92627,#N/A
1059,"Jays Aircraft Maintenance, Inc.",92626,#N/A
840,"Eaton Aerospace Group, Fuel & Motion Control Systems Division, Irvine",92618,#N/A
1254,Parker Aerospace,92618,#N/A
1255,Parker Customer Support Operations - Aerospace,92618,#N/A
1025,Iac - International Aerospace Coatings,92617,#N/A
1043,International Aerospace Coatings,92617,#N/A
604,Bearing Return to Service by PAS MRO,92614,#N/A
1256,PAS MRO,92614,#N/A
567,"Avion Graphics, Inc.",92610,#N/A
1388,Rogerson Aircraft Corp.,92606,#N/A
353,"AIE, Inc.",92563,#N/A
1028,Ikhana Aircraft Services Inc.,92563,#N/A
253,"Accurate Accessories, LLC",92553,#N/A
994,"Hemet-Ryan Flight School, Inc.",92545,#N/A
982,"Heli-Flite, Inc.",92504,#N/A
294,"Aero Pro, LLC",92408,#N/A
1677,"Vreeman Associates, Inc.",92307,#N/A
1370,"Regional Avionics Repair, LLC",92276,#N/A
1106,"La Quinta Air Services, Inc.",92274,#N/A
709,Chromalloy - Calexico,92231,#N/A
796,"Delta Group Electronics, Inc., San Diego",92131,#N/A
938,"Gibbs Service Center, Inc.",92123,#N/A
1415,"Sanders Composites, Inc.",92123,#N/A
715,"Chromalloy, San Diego",92121,#N/A
898,"Flame Spray, Inc.",92120,#N/A
1040,"Interface Air Repair, Inc.",92081,#N/A
1574,Thornton Technology Corp.,92078,#N/A
767,"Cruiseair Aviation, Inc.",92065,#N/A
1035,Instrument Overhaul Avionics,92020,#N/A
1036,"Instrument Overhaul Service of San Diego, Inc.",92020,#N/A
1480,Southern Cal Aircraft Repair,92020,#N/A
724,"Civic Helicopters, Inc.",92011,#N/A
669,The Camlin Co.,91803,#N/A
438,"AirWorks, Inc.",91789,#N/A
1636,Unical,91789,#N/A
1637,Unical Aviation Inc.,91789,#N/A
1346,Qualified Technologies Corp.,91786,#N/A
472,Amroc,91767,#N/A
51,"Aviation Fuel Systems Repair, Inc.",91761,#N/A
73,Certified Aviation Services,91761,#N/A
188,"Otto Instrument Service, Inc.",91761,#N/A
1071,"Jet Zone, Inc.",91761,#N/A
818,Dow Hydraulic Systems,91750,#N/A
1017,"Howard Aviation, Inc.",91750,#N/A
1246,"Pacific Oil Cooler Service, Inc.",91750,#N/A
8,8tree,91729,#N/A
1115,"Landmark Electronics, Inc.",91722,#N/A
349,"Affordable Avionics, Inc.",91710,#N/A
554,"Aviation Maintenance Group, Inc.",91708,#N/A
463,Ameron Global Product Support,91706,#N/A
837,Eaton,91618,#N/A
1245,"Pacific Magnetic & Penetrant Co., Inc.",91605,#N/A
707,Chrisbarry Aircraft Corp.,91605,#N/A
831,E/M Coating Services,91605,#N/A
1355,"R & B Aircraft Supply, Inc.",91605,#N/A
951,"Gyro Specialist, Inc.",91601,#N/A
129,Hutchinson Aerospace,91505,#N/A
239,A.J. Levin Company,91505,#N/A
578,Avjet Corp.,91505,#N/A
1374,"Repairtech International, Inc.",91406,#N/A
537,Aviall Wheel & Brake Service - Van Nuys,91406,#N/A
273,"Aero Accessories, Inc.",91406,#N/A
307,"Aero-Nasch Aviation, Inc.",91406,#N/A
862,"Eon Instrumentation, Inc.",91406,#N/A
1573,Thornton Aircraft Co.,91406,#N/A
1667,"Velocity Aerospace, Inc., Van Nuys",91406,#N/A
312,Aerocon Engineering Co.,91405,#N/A
277,Aero Chrome Plating,91405,#N/A
401,"Aircraft Instrument Repair Labs, Inc.",91403,#N/A
245,Able Aerospace Adhesives,91355,#N/A
145,Itt Aerospace Controls,91355,#N/A
387,"Aircraft Component Repair, Inc.",91355,#N/A
388,"Aircraft Component Repair, Inc. (ACR)",91355,#N/A
1368,Regent Aerospace,91355,#N/A
1391,"Romi Industries, Inc.",91355,#N/A
1537,Sunvair Aerospace Group,91355,#N/A
1600,"Triumph Actuation Systems, Valencia, Inc.",91355,#N/A
810,"Dixon Hard Chrome, Inc.",91352,#N/A
975,Hawker Pacific Aerospace,91352,#N/A
987,"Helicopter Accessory Service, Inc.",91352,#N/A
1102,L.A. X-RAY,91352,#N/A
1125,"Lee Air Co., Inc.",91352,#N/A
673,Canyon Welding,91351,#N/A
1238,Otto Avionics Repair Center,91351,#N/A
189,"Packaging Systems, Inc.",91350,#N/A
426,"Airpac Enterprises, Inc.",91342,#N/A
425,Airo Industries Co.,91340,#N/A
666,California Technical Plating Corp.,91340,#N/A
921,"Frazier Aviation, Inc.",91340,#N/A
247,Able Air Corp.,91331,#N/A
822,"Dukes Aerospace, Inc.",91324,#N/A
801,"DesignworksUSA, Inc.",91320,#N/A
187,Ontic,91311,#N/A
445,Align Aerospace,91311,#N/A
446,Align Aerospace LLC,91311,#N/A
504,"Asil Aerospace, Inc.",91311,#N/A
1023,Hydraulics International Inc.,91311,#N/A
571,"Avionics Plus, Inc.",91206,#N/A
917,Fortner Engineering,91201,#N/A
916,Fortner Accessory Service Corp.,91201,#N/A
1155,Mask-off,91016,#N/A
849,Element Materials Technology,91010,#N/A
1094,KGS Electronics,91006,#N/A
55,Aviation Repair Solutions,90813,#N/A
206,"Shimadzu Precision Instruments, Inc.",90808,#N/A
1306,Precision Aero Technology,90806,#N/A
1307,Precision Aero Technology (PAT),90806,#N/A
1481,"Southern California Radar & Microwave Service, Inc.",90755,#N/A
1508,Stanford Mu - Airborne Components Div.,90746,#N/A
821,Ducommun,90745,#N/A
1097,"Kool Air Technology, LLC",90723,#N/A
500,Arrowhead Products,90720,#N/A
603,"Bearing Inspection, Inc, Aero Services By Timken",90720,#N/A
623,"Bii, Aero Services by Timken",90720,#N/A
775,"Custom Aircraft Interiors, Inc.",90712,#N/A
1162,McStarlite Company,90710,#N/A
25,Agse/Westmont,90670,#N/A
1183,"Mitchell Laboratories, Inc.",90660,#N/A
91,Desser,90640,#N/A
1193,MROtechnologies.com,90630,#N/A
953,"Hadd-Co Inspection Lab, Inc.",90505,#N/A
1288,"Plasma Technology, Inc.",90501,#N/A
763,"Creative Pathways, Inc.",90501,#N/A
820,"DS Tool Technology, Inc.",90501,#N/A
1685,Weld Lab,90302,#N/A
839,"Eaton Aerospace Group, Fuel & Motion Control Systems Division, Ingelwood",90301,#N/A
1199,Multichrome/Microplate Co. Inc.,90301,#N/A
806,"Dickson Testing Co., Inc.",90280,#N/A
781,"D. Elsworth, Inc.",90250,#N/A
710,Chromalloy - Los Angeles,90249,#N/A
124,"Herber Aircraft Service, Inc.",90245,#N/A
474,Anachem Laboratories,90245,#N/A
881,F & E Aircraft Maintenance,90245,#N/A
1090,Kellstrom Defense,90245,#N/A
1419,"SATCO, Inc., Los Angeles",90245,#N/A
1626,Twu Local 564,90245,#N/A
643,"Bowman Plating Co., Inc.",90222,#N/A
850,Element Rancho Dominguez,90220,#N/A
1302,"Praxair Surface Technologies, Inc.",90220,#N/A
848,"Electrolizing, Inc.",90011,#N/A
713,"Chromalloy, Nevada",89706,#N/A
765,Cross Check Aviation Parts,89511,#N/A
1347,"Quality Air Services, Inc.",89431,#N/A
1021,"Hutt Aviation, Inc.",89423,#N/A
66,"Bruce Aerospace, Inc.",89403,#N/A
1134,"Lone Mountain Aviation, Inc.",89130,#N/A
628,Black Mountain Avionics,89005,#N/A
989,"Helicopter Services Of Nevada, LLC",89005,#N/A
1518,Stewart Industries International Roswell,88203,#N/A
533,Avflight Roswell,88203,#N/A
1417,Santa Fe Aero Services LLC,87507,#N/A
0,"Aeroparts Manufacturing & Repair, Inc.",87124,#N/A
287,"Aero Mechanical Industries, Inc.",87124,#N/A
1653,"Utilicraft Aerospace Industries, Inc.",87121,#N/A
1671,Vibrant Corp.,87113,#N/A
218,Ultramain Systems,87109,#N/A
1233,ONE Aviation Corp.,87106,#N/A
487,Arizona Air-Craftsman,86301,#N/A
1425,Scott Instrument Co.,86301,#N/A
1647,Universal Avionics Systems Corporation,85756,#N/A
1429,"Securaplane Technologies, Inc.",85755,#N/A
1486,"Southwest Avionics, Inc.",85735,#N/A
677,Cappsco International Corp.,85719,#N/A
154,K&M Industry (Product name StrutWipe),85712,#N/A
432,"Airtronics, Inc.",85710,#N/A
1319,Premier Aviation,85706,#N/A
354,"AIM, LLC",85705,#N/A
399,"Aircraft Inspection & Management, LLC.",85705,#N/A
462,"American Turbo Systems, Inc.",85705,#N/A
40,Ascent Aviation Services,85653,#N/A
110,"Galaxy International, Inc.",85338,#N/A
510,"Associated Painters, Inc., Arizona",85338,#N/A
931,Galaxy International Inc.,85338,#N/A
684,"Castle Aeronautics, LLC",85308,#N/A
436,"Airwest Helicopters, LLC",85307,#N/A
1303,"Praxis Resources, Inc.",85295,#N/A
19,Aero-zone,85286,#N/A
392,"Aircraft Engine Specialists, LLC",85286,#N/A
967,Harter Aerospace,85283,#N/A
658,"Butler National Corp., Tempe",85282,#N/A
1057,"Jansens Aircraft Systems Controls, Inc.",85282,#N/A
1281,"Phoenix Air Repair, Inc.",85281,#N/A
